area,disruption,greatest_sector,totaldisrupt,dis,totalEmployed
4600002,1.2176109680351461,"Postal service mail sorters, processors, and processing machine operators",,160749.0,132020.0
28940,0.8477413617221626,"Postal service mail sorters, processors, and processing machine operators",,324100.0,382310.0
24860,1.2227545817135357,"Postal service mail sorters, processors, and processing machine operators",,484382.0,396140.0
30780,0.6903758692526628,"Postal service mail sorters, processors, and processing machine operators",,235287.0,340810.0
1600004,0.5529575653664809,Postal service clerks,,25801.0,46660.0
1300001,1.6838479959667254,"Switchboard operators, including answering service",,267193.0,158680.0
4800004,0.7105938340575212,"Switchboard operators, including answering service",,137372.0,193320.0
48864,0.7409688581314879,"Electronic equipment installers and repairers, motor vehicles",,256968.0,346800.0
2000003,0.7997081642821553,"Switchboard operators, including answering service",,112351.0,140490.0
73450,0.7767314451106058,"Postal service mail sorters, processors, and processing machine operators",,450846.0,580440.0
76524,0.4959519291587603,"Switchboard operators, including answering service",,47046.0,94860.0
5100002,0.742014468558709,"Switchboard operators, including answering service",,80004.0,107820.0
39540,0.8370604026845637,Postal service clerks,,62361.0,74500.0
0600001,0.6081688733449913,Postal service clerks,,24345.0,40030.0
48900,0.3911408850994722,"Switchboard operators, including answering service",,48169.0,123150.0
0600005,0.7854950964884531,"Switchboard operators, including answering service",,49659.0,63220.0
16300,0.6256604834176503,"Postal service mail sorters, processors, and processing machine operators",,89044.0,142320.0
29020,0.26803629947063273,Postal service mail carriers,,10633.0,39670.0
37964,0.6851784892142881,Telephone operators,,610172.0,890530.0
1800003,1.1974238375200428,"Switchboard operators, including answering service",,224038.0,187100.0
34620,0.5190688349298285,"Postal service mail sorters, processors, and processing machine operators",,23301.0,44890.0
7200002,0.2753764393268379,Sewing machine operators,,3109.0,11290.0
42680,0.6455431177446103,"Switchboard operators, including answering service",,31141.0,48240.0
40340,0.432583093431039,Postal service clerks,,49587.0,114630.0
3600002,0.5486305361305361,Sewing machine operators,,18829.0,34320.0
16974,0.7832443797064805,"Electronic equipment installers and repairers, motor vehicles",,2849913.0,3638600.0
2800003,0.7851477295260757,"Switchboard operators, including answering service",,118785.0,151290.0
3000001,0.4966127098321343,Postmasters and mail superintendents,,16567.0,33360.0
16820,0.542539037235517,"Switchboard operators, including answering service",,58719.0,108230.0
42034,0.4969181150331482,"Switchboard operators, including answering service",,55466.0,111620.0
30980,0.6656050955414012,"Switchboard operators, including answering service",,63745.0,95770.0
47260,0.6112894487335772,"Postal service mail sorters, processors, and processing machine operators",,451315.0,738300.0
22520,0.9770907724112009,"Switchboard operators, including answering service",,51991.0,53210.0
78700,0.954154476301931,"Switchboard operators, including answering service",,65226.0,68360.0
44940,0.6048562656991348,Postal service mail carriers,,21672.0,35830.0
42140,0.4987036136768757,"Switchboard operators, including answering service",,30775.0,61710.0
0200002,0.4673405698778833,"Switchboard operators, including answering service",,34443.0,73700.0
2800002,0.8448069105691057,"Switchboard operators, including answering service",,83129.0,98400.0
49740,1.5952820851204224,"Switchboard operators, including answering service",,96706.0,60620.0
45460,0.8020374283127075,"Switchboard operators, including answering service",,53143.0,66260.0
30140,0.6730753396459448,"Switchboard operators, including answering service",,32698.0,48580.0
27860,0.652819653824679,"Switchboard operators, including answering service",,35076.0,53730.0
17420,0.5123578631195023,Sewing machine operators,,23881.0,46610.0
21060,0.545921052631579,"Switchboard operators, including answering service",,29043.0,53200.0
41660,0.39812246639641563,Sewing machine operators,,18660.0,46870.0
43524,0.5140476108569266,"Postal service mail sorters, processors, and processing machine operators",,298857.0,581380.0
15260,0.4526778979129997,"Switchboard operators, including answering service",,18003.0,39770.0
10900,0.7924020298844093,"Postal service mail sorters, processors, and processing machine operators",,281065.0,354700.0
41740,0.7820505796182018,"Postal service mail sorters, processors, and processing machine operators",,1084798.0,1387120.0
1200001,0.38617200674536256,Postal service clerks,,11450.0,29650.0
5600002,0.4884127245755728,"Switchboard operators, including answering service",,29632.0,60670.0
30300,0.3393430099312452,"Switchboard operators, including answering service",,8884.0,26180.0
49420,1.1045710928319623,"Postal service mail sorters, processors, and processing machine operators",,93999.0,85100.0
27900,0.546863228990778,"Switchboard operators, including answering service",,42103.0,76990.0
16740,0.9182664725593735,"Electronic equipment installers and repairers, motor vehicles",,1065988.0,1160870.0
41884,0.7047060807961542,"Postal service mail sorters, processors, and processing machine operators",,752013.0,1067130.0
26900,0.8458759534086205,Telephone operators,,858378.0,1014780.0
73050,0.544933489827856,Postal service clerks,,27857.0,51120.0
21660,0.708961163716207,"Postal service mail sorters, processors, and processing machine operators",,103324.0,145740.0
27100,0.7570969379123668,Postal service clerks,,44752.0,59110.0
16620,0.6586870551015027,"Postal service mail sorters, processors, and processing machine operators",,74952.0,113790.0
17460,1.0084815214958,"Electronic equipment installers and repairers, motor vehicles",,1036124.0,1027410.0
27740,0.5400307141028923,"Postal service mail sorters, processors, and processing machine operators",,42198.0,78140.0
3500002,0.5616968762051677,"Switchboard operators, including answering service",,72824.0,129650.0
4000004,0.9921208882555516,"Switchboard operators, including answering service",,167093.0,168420.0
40140,0.8989071078359414,"Postal service mail sorters, processors, and processing machine operators",,1224707.0,1362440.0
17860,0.4898658230609796,"Postal service mail sorters, processors, and processing machine operators",,44906.0,91670.0
35380,0.6542537179716896,"Postal service mail sorters, processors, and processing machine operators",,365139.0,558100.0
2800001,1.4605816184164633,"Switchboard operators, including answering service",,334999.0,229360.0
19804,0.8929691522074886,"Postal service mail sorters, processors, and processing machine operators",,641768.0,718690.0
20524,0.49751905652236444,"Switchboard operators, including answering service",,69185.0,139060.0
17820,0.5274416530399881,"Postal service mail sorters, processors, and processing machine operators",,141924.0,269080.0
3200001,0.6360952568392049,Postal service clerks,,32320.0,50810.0
3700001,0.9550757942267376,"Switchboard operators, including answering service",,236897.0,248040.0
47940,0.6260687627233658,"Postal service mail sorters, processors, and processing machine operators",,55357.0,88420.0
2000001,0.5827859275606906,Postmasters and mail superintendents,,44892.0,77030.0
2500004,0.441747572815534,Postal service mail carriers,,2730.0,6180.0
37460,0.39511774133892247,Postal service clerks,,32048.0,81110.0
17020,0.6319837508463101,"Switchboard operators, including answering service",,46672.0,73850.0
1700004,0.6443867976597859,Sewing machine operators,,58375.0,90590.0
36260,0.7342242690900119,"Switchboard operators, including answering service",,178556.0,243190.0
1900003,0.6864957466918714,Sewing machine operators,,58105.0,84640.0
25020,0.3072398190045249,Word processors and typists,,3395.0,11050.0
26420,0.7504437834541174,"Electronic equipment installers and repairers, motor vehicles",,2202545.0,2934990.0
41100,0.3186679953496097,"Switchboard operators, including answering service",,19187.0,60210.0
48660,0.49925173703901654,Sewing machine operators,,28023.0,56130.0
29820,0.6714577409078275,"Postal service mail sorters, processors, and processing machine operators",,628095.0,935420.0
2200002,0.5248566696394446,"Switchboard operators, including answering service",,41196.0,78490.0
33874,0.7523864447203026,"Electronic equipment installers and repairers, motor vehicles",,769744.0,1023070.0
33260,0.4599028227672374,"Postal service mail sorters, processors, and processing machine operators",,39754.0,86440.0
4800005,0.444908933217693,Postal service clerks,,25649.0,57650.0
31180,0.5609811751283514,"Postal service mail sorters, processors, and processing machine operators",,78672.0,140240.0
16060,0.5216682646212848,"Switchboard operators, including answering service",,27205.0,52150.0
49180,1.0180947230163022,"Postal service mail sorters, processors, and processing machine operators",,263544.0,258860.0
39660,0.7280159216166565,"Postal service mail sorters, processors, and processing machine operators",,47554.0,65320.0
25220,0.34140418369800435,Postal service clerks,,14199.0,41590.0
36100,0.5704787234042553,"Switchboard operators, including answering service",,55770.0,97760.0
27500,0.7192966219342897,Sewing machine operators,,46632.0,64830.0
39340,0.5845407768316562,"Postal service mail sorters, processors, and processing machine operators",,128371.0,219610.0
16700,0.6830551402154343,"Postal service mail sorters, processors, and processing machine operators",,223844.0,327710.0
13460,0.49154122818702545,"Switchboard operators, including answering service",,36900.0,75070.0
34740,0.9919028999674161,"Pourers and casters, metal",,60883.0,61380.0
77200,0.9503936172094751,Telephone operators,,537229.0,565270.0
12060,0.8472019331315086,"Electronic equipment installers and repairers, motor vehicles",,2163220.0,2553370.0
34900,0.7583580613254204,"Switchboard operators, including answering service",,53669.0,70770.0
46060,0.6046822276137093,"Electronic equipment installers and repairers, motor vehicles",,216833.0,358590.0
15380,0.826216689147315,"Postal service mail sorters, processors, and processing machine operators",,453279.0,548620.0
29740,0.502771855010661,"Switchboard operators, including answering service",,35370.0,70350.0
25420,0.7643488342943093,"Postal service mail sorters, processors, and processing machine operators",,243919.0,319120.0
35084,0.7825539925563241,Telephone operators,,906221.0,1158030.0
38060,0.739876917035261,"Electronic equipment installers and repairers, motor vehicles",,1431869.0,1935280.0
74804,0.6120415041966824,"Switchboard operators, including answering service",,92608.0,151310.0
41180,0.8590513716452308,"Postal service mail sorters, processors, and processing machine operators",,1155510.0,1345100.0
1700001,0.9082337218798723,"Switchboard operators, including answering service",,122330.0,134690.0
29620,0.6694790046656298,"Postal service mail sorters, processors, and processing machine operators",,137752.0,205760.0
36740,0.5939446780866414,"Electronic equipment installers and repairers, motor vehicles",,694844.0,1169880.0
22420,0.5953867833568197,Telephone operators,,80276.0,134830.0
